scheme,inject,swifi_zone,baseline_only,calibrate,M,K,N,Pr,Pc,frags_per_rank,num_fragments_total,repeats,threshold_used,baseline_min_ms,baseline_median_ms,baseline_mean_ms,baseline_max_ms,baseline_gflops_min,baseline_gflops_median,baseline_gflops_mean,baseline_gflops_max,protected_min_ms,protected_median_ms,protected_mean_ms,protected_max_ms,protected_gflops_min,protected_gflops_median,protected_gflops_mean,protected_gflops_max,overhead_pct,TP,TN,FP,FN,recall,precision,correction_precision_pct,calib_max_diff,calib_safety_factor,calib_suggested_tau
baseline,none,any,1,0,256,256,256,1,2,1,2,1,0.312076,0.022270,0.022984,0.023273,0.030451,1101.915602,1459.903933,1441.793690,1506.710013,0.022270,0.022984,0.023273,0.030451,1101.915602,1459.903933,1441.793690,1506.710013,0.000000,0,40,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,256,256,256,1,2,1,2,1,1.000000,0.027115,0.027564,0.028422,0.041789,802.948910,1217.328109,1180.598243,1237.485967,0.087007,0.089333,0.089620,0.101007,332.199075,375.610715,374.406602,385.652097,224.093020,0,40,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,256,256,256,1,2,1,2,1,1.000000,0.027728,0.028372,0.029752,0.047452,707.123662,1182.660087,1127.811830,1210.128102,0.191337,0.193144,0.196979,0.257267,130.426491,173.727540,170.344965,175.368235,580.755675,40,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,512,512,512,1,2,1,2,1,2.409574,0.056922,0.058056,0.058862,0.072842,3685.174158,4623.733223,4560.404742,4715.847230,0.056922,0.058056,0.058862,0.072842,3685.174158,4623.733223,4560.404742,4715.847230,0.000000,0,40,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,512,512,512,1,2,1,2,1,1.000000,0.061627,0.062855,0.063030,0.066231,4053.018315,4270.709665,4258.886014,4355.809239,0.168527,0.170447,0.171374,0.192568,1393.977483,1574.891057,1566.372122,1592.833528,171.174926,0,40,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,512,512,512,1,2,1,2,1,1.000000,0.062549,0.063539,0.064101,0.069606,3856.498808,4224.735296,4187.708359,4291.602679,0.354811,0.357095,0.369634,0.598435,448.562427,751.720007,726.220092,756.559002,462.009160,40,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,768,768,768,1,2,1,2,1,7.841694,0.140222,0.144192,0.147032,0.194863,4649.264683,6283.078562,6161.728089,6460.966639,0.140222,0.144192,0.147032,0.194863,4649.264683,6283.078562,6161.728089,6460.966639,0.000000,0,40,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,768,768,768,1,2,1,2,1,1.000000,0.146594,0.153113,0.153321,0.161570,5607.288878,5917.000281,5908.975023,6180.127863,0.288395,0.294620,0.295251,0.304129,2978.899296,3075.044681,3068.475922,3141.419456,92.419977,0,40,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,768,768,768,1,2,1,2,1,1.000000,0.148224,0.155602,0.155243,0.164729,5499.758173,5822.352309,5835.814640,6112.165803,0.569274,0.574975,0.576643,0.597496,1516.277371,1575.667923,1571.110275,1591.447465,269.516459,40,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,1024,1024,1024,1,2,8,16,1,2.711430,0.367480,0.371687,0.371818,0.376119,5709.585658,5777.666822,5775.627334,5843.810950,0.367480,0.371687,0.371818,0.376119,5709.585658,5777.666822,5775.627334,5843.810950,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,1024,1024,1024,1,2,8,16,1,1.000000,0.378605,0.390584,0.390440,0.400824,5357.672315,5498.135223,5500.159494,5672.095318,1.164225,1.205852,1.198713,1.219243,1761.325386,1780.884925,1791.490558,1844.560672,208.730516,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,1024,1024,1024,1,2,8,16,1,1.000000,0.376681,0.386065,0.386517,0.398730,5385.809064,5562.492451,5555.981821,5701.067078,1.499802,1.527008,1.527988,1.611290,1332.772901,1406.334248,1405.432503,1431.844769,295.531322,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,1280,1280,1280,1,2,8,16,1,5.132952,0.795094,0.802926,0.803341,0.808920,5185.066508,5223.774046,5221.074184,5275.230350,0.795094,0.802926,0.803341,0.808920,5185.066508,5223.774046,5221.074184,5275.230350,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,1280,1280,1280,1,2,8,16,1,1.000000,0.804505,0.818384,0.819170,0.840853,4988.153696,5125.105085,5120.186257,5213.521358,1.618664,1.679767,1.685384,1.901865,2205.363682,2496.955828,2488.634044,2591.213495,105.254135,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,1280,1280,1280,1,2,8,16,1,1.000000,0.804442,0.815472,0.814779,0.828628,5061.745439,5143.406518,5147.781177,5213.929656,2.028732,2.106978,2.144634,2.529181,1658.364506,1990.672897,1955.720503,2067.450999,158.375272,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,1536,1536,1536,1,2,8,16,1,8.576608,0.946266,0.952748,0.952692,0.959152,7556.422039,7607.213358,7607.657322,7659.323395,0.946266,0.952748,0.952692,0.959152,7556.422039,7607.213358,7607.657322,7659.323395,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,1536,1536,1536,1,2,8,16,1,1.000000,0.966446,0.983050,0.981902,1.004472,7215.489642,7372.725001,7381.347147,7499.391908,2.232649,2.312400,2.289698,2.333958,3105.350358,3134.300861,3165.376829,3246.259180,135.227099,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,1536,1536,1536,1,2,8,16,1,1.000000,0.869324,0.882495,0.884303,0.904826,8010.111681,8212.802692,8196.007052,8337.233657,2.433888,2.493367,2.485615,2.564361,2826.340485,2906.815287,2915.880434,2977.851615,182.536105,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
