regime,M,K,N,who,gflops,time_ms
small_sq,48,48,48,ours_baseline,11.179642,0.019785
small_sq,48,48,48,ours_online,6.482355,0.034121
small_sq,48,48,48,ours_online_inj,3.030978,0.072974
small_sq,48,48,48,theirs_cublas,11.666667,0.018958628029753483
small_sq,48,48,48,theirs_fused,10.000000,0.0221184
small_sq,48,48,48,theirs_fused_inj,9.333333,0.023698286560653092
small_sq,96,96,96,ours_baseline,80.945654,0.021860
small_sq,96,96,96,ours_online,45.693509,0.038725
small_sq,96,96,96,ours_online_inj,18.518419,0.095552
small_sq,96,96,96,theirs_cublas,91.000000,0.019444747252747255
small_sq,96,96,96,theirs_fused,59.000000,0.029991050847457627
small_sq,96,96,96,theirs_fused_inj,58.666667,0.030161454374082644
small_sq,160,160,160,ours_baseline,330.371426,0.024796
small_sq,160,160,160,ours_online,170.340654,0.048092
small_sq,160,160,160,ours_online_inj,62.078508,0.131962
small_sq,160,160,160,theirs_cublas,371.333333,0.022061041312442586
small_sq,160,160,160,theirs_fused,201.333333,0.04068874178921977
small_sq,160,160,160,theirs_fused_inj,201.333333,0.04068874178921977
small_sq,208,208,208,ours_baseline,640.104705,0.028117
small_sq,208,208,208,ours_online,281.916092,0.063841
small_sq,208,208,208,ours_online_inj,101.761846,0.176862
small_sq,208,208,208,theirs_cublas,639.333333,0.028150923893717896
small_sq,208,208,208,theirs_fused,410.333333,0.04386147200963564
small_sq,208,208,208,theirs_fused_inj,411.333333,0.043754839581648976
small_sq,256,256,256,ours_baseline,1104.876356,0.030369
small_sq,256,256,256,ours_online,466.111463,0.071988
small_sq,256,256,256,ours_online_inj,160.006358,0.209707
small_sq,256,256,256,theirs_cublas,1143.333333,0.02934789971701105
small_sq,256,256,256,theirs_fused,547.000000,0.06134265447897623
small_sq,256,256,256,theirs_fused_inj,545.333333,0.06153013206694995
small_sq,304,304,304,ours_baseline,1313.985903,0.042762
small_sq,304,304,304,ours_online,611.625437,0.091868
small_sq,304,304,304,ours_online_inj,228.454172,0.245953
small_sq,304,304,304,theirs_cublas,1371.333333,0.04097393875570587
small_sq,304,304,304,theirs_fused,711.000000,0.07902802812939522
small_sq,304,304,304,theirs_fused_inj,694.333333,0.08092500435954153
small_sq,352,352,352,ours_baseline,1775.451711,0.049130
small_sq,352,352,352,ours_online,828.463416,0.105289
small_sq,352,352,352,ours_online_inj,307.058265,0.284078
