regime,M,K,N,who,gflops,time_ms
small_sq,48,48,48,ours_baseline,12.811863,0.017264
small_sq,48,48,48,ours_online,5.490199,0.040287
small_sq,48,48,48,ours_online_inj,2.995525,0.073838
small_sq,48,48,48,theirs_cublas,12.666667,0.017461894277318573
small_sq,48,48,48,theirs_fused,14.000000,0.015798857142857142
small_sq,48,48,48,theirs_fused_inj,14.333333,0.015431442219335866
small_sq,96,96,96,ours_baseline,111.319286,0.015895
small_sq,96,96,96,ours_online,48.865413,0.036211
small_sq,96,96,96,ours_online_inj,21.431710,0.082563
small_sq,96,96,96,theirs_cublas,103.333333,0.017123922635883623
small_sq,96,96,96,theirs_fused,95.666667,0.01849622293206891
small_sq,96,96,96,theirs_fused_inj,95.333333,0.01856089516979334
small_sq,160,160,160,ours_baseline,435.255404,0.018821
small_sq,160,160,160,ours_online,183.267313,0.044700
small_sq,160,160,160,ours_online_inj,56.346527,0.145386
small_sq,160,160,160,theirs_cublas,419.000000,0.019551312649164678
small_sq,160,160,160,theirs_fused,232.333333,0.035259684412137275
small_sq,160,160,160,theirs_fused_inj,243.666667,0.03361969899641628
small_sq,208,208,208,ours_baseline,973.342900,0.018491
small_sq,208,208,208,ours_online,416.777090,0.043183
small_sq,208,208,208,ours_online_inj,121.650593,0.147947
small_sq,208,208,208,theirs_cublas,830.000000,0.02168412530120482
small_sq,208,208,208,theirs_fused,568.333333,0.03166772553176992
small_sq,208,208,208,theirs_fused_inj,579.666667,0.031048575025273962
small_sq,256,256,256,ours_baseline,1514.248391,0.022159
small_sq,256,256,256,ours_online,670.352146,0.050055
small_sq,256,256,256,ours_online_inj,111.522066,0.300877
small_sq,256,256,256,theirs_cublas,1285.000000,0.026112398443579765
small_sq,256,256,256,theirs_fused,797.000000,0.04210091844416562
small_sq,256,256,256,theirs_fused_inj,849.666667,0.039491289117500473
small_sq,304,304,304,ours_baseline,2625.896252,0.021398
small_sq,304,304,304,ours_online,1108.730865,0.050679
small_sq,304,304,304,ours_online_inj,275.851773,0.203692
small_sq,304,304,304,theirs_cublas,2262.000000,0.024840374889478337
small_sq,304,304,304,theirs_fused,777.000000,0.07231522265122266
small_sq,304,304,304,theirs_fused_inj,772.333333,0.07275217266842994
small_sq,352,352,352,ours_baseline,3179.102123,0.027438
small_sq,352,352,352,ours_online,1172.957822,0.074366
small_sq,352,352,352,ours_online_inj,220.159176,0.396206
small_sq,352,352,352,theirs_cublas,2946.666667,0.029602403616560812
