M,K,N,who,real_gflops
256,256,256,theirs_fused,224.215
256,256,256,ours_online,792.505
1024,1024,1024,theirs_fused,4581.067
1024,1024,1024,ours_online,4102.365
2048,2048,2048,theirs_fused,6219.275
2048,2048,2048,ours_online,8269.467
3072,3072,3072,theirs_fused,7127.834
3072,3072,3072,ours_online,10045.285
4096,4096,4096,theirs_fused,7544.150
4096,4096,4096,ours_online,9330.754
5120,5120,5120,theirs_fused,7788.974
5120,5120,5120,ours_online,9301.906
6144,6144,6144,theirs_fused,7832.811
6144,6144,6144,ours_online,9983.269
7168,7168,7168,theirs_fused,7806.810
7168,7168,7168,ours_online,9998.973
8192,8192,8192,theirs_fused,8061.803
8192,8192,8192,ours_online,10320.493
9216,9216,9216,theirs_fused,8039.637
9216,9216,9216,ours_online,10356.324
10240,10240,10240,theirs_fused,7913.058
10240,10240,10240,ours_online,10236.306
